Standard output of YIS Manager:
  TID,     AccX,     AccY,     AccZ,    AngVX,    AngVY,    AngVZ,     MagX,     MagY,     MagZ, NormMagX, NormMagY, NormMagZ,    Pitch,     Roll,      Yaw,       q0,       q1,       q2,       q3, 
15456,  -0.340991,  -9.757752,  -0.201705,  -0.115142,   0.171358,  -0.332378,   0.016671,   1.077781,  -0.805045, -256.500000, -142.500000, -441.000000,   2.080222, -91.084400, -178.364432,   0.022949,   0.002526,   0.713727,  -0.699982, 
15457,  -0.361199,  -9.799276,  -0.213162,  -0.094067,   0.116954,  -0.136812,   0.019039,   1.072982,  -0.801409, -255.000000, -144.000000, -439.500000,   2.078199, -91.086928, -178.368912,   0.022909,   0.002541,   0.713743,  -0.699968, 
15458,  -0.345219,  -9.703211,  -0.145043,  -0.108414,   0.108945,  -0.163222,   0.012168,   1.058773,  -0.802493, -258.000000, -148.500000, -439.500000,   2.078017, -91.084992, -178.369216,   0.022905,   0.002542,   0.713731,  -0.699980, 
15459,  -0.337858,  -9.802922,  -0.210040,   0.121118,   0.160732,  -0.177179,   0.006388,   1.060676,  -0.792193, -261.000000, -147.000000, -436.500000,   2.074456, -91.085248, -178.362000,   0.022928,   0.002475,   0.713732,  -0.699977, 
15460,  -0.352755,  -9.762964,  -0.197599,  -0.221415,   0.251267,  -0.216089,   0.016158,   1.075337,  -0.791433, -256.500000, -142.500000, -436.500000,   2.072353, -91.087464, -178.357056,   0.022945,   0.002431,   0.713746,  -0.699963, 
15461,  -0.337518,  -9.695466,  -0.160981,   0.018231,   0.160476,  -0.274049,   0.014645,   1.084208,  -0.817756, -258.000000, -141.000000, -445.500000,   2.068766, -91.085224, -178.359088,   0.022910,   0.002423,   0.713732,  -0.699978, 
15462,  -0.378536,  -9.787061,  -0.177874,  -0.077158,   0.163680,  -0.270208,   0.005233,   1.073983,  -0.817939, -262.500000, -144.000000, -445.500000,   2.070492, -91.083920, -178.350560,   0.022973,   0.002380,   0.713724,  -0.699984, 
15463,  -0.314475,  -9.787683,  -0.194511,  -0.015448,   0.204325,  -0.412888,   0.001276,   1.063031,  -0.809695, -264.000000, -147.000000, -442.500000,   2.064143, -91.084056, -178.336544,   0.023019,   0.002254,   0.713725,  -0.699981, 
15464,  -0.374143,  -9.750856,  -0.165226,  -0.137748,   0.170504,  -0.510569,   0.010345,   1.071628,  -0.800437, -259.500000, -144.000000, -439.500000,   2.061492, -91.083216, -178.323824,   0.023080,   0.002159,   0.713720,  -0.699984, 
15465,  -0.314187,  -9.730366,  -0.192700,   0.096730,   0.211554,  -0.690018,   0.016500,   1.076966,  -0.800508, -256.500000, -142.500000, -439.500000,   2.054043, -91.081096, -178.323968,   0.023032,   0.002115,   0.713707,  -0.699999, 
15466,  -0.358407,  -9.830037,  -0.202540,   0.036511,   0.157027,  -0.944036,   0.019723,   1.076240,  -0.819559, -255.000000, -144.000000, -445.500000,   2.045085, -91.081160, -178.331408,   0.022931,   0.002106,   0.713708,  -0.700002, 
15467,  -0.341207,  -9.718486,  -0.166926,  -0.118141,   0.157640,  -0.893511,   0.014440,   1.077781,  -0.832524, -258.000000, -144.000000, -450.000000,   2.037071, -91.080424, -178.337232,   0.022846,   0.002094,   0.713704,  -0.700009, 
15468,  -0.327755,  -9.798283,  -0.185175,   0.088381,   0.174172,  -1.047595,   0.010825,   1.068458,  -0.833355, -259.500000, -147.000000, -450.000000,   2.026201, -91.079464, -178.337648,   0.022776,   0.002030,   0.713698,  -0.700018, 
15469,  -0.368487,  -9.808133,  -0.201420,  -0.049838,   0.122033,  -0.867282,   0.018852,   1.069361,  -0.806524, -255.000000, -145.500000, -441.000000,   2.018400, -91.080856, -178.340576,   0.022709,   0.002000,   0.713707,  -0.700011, 
15470,  -0.347257,  -9.732048,  -0.169931,  -0.101047,   0.194514,  -0.631579,   0.007635,   1.074797,  -0.794998, -261.000000, -142.500000, -438.000000,   2.013973, -91.080752, -178.339152,   0.022690,   0.001965,   0.713706,  -0.700012, 
15471,  -0.342047,  -9.797596,  -0.205346,   0.052747,   0.132381,  -0.535256,   0.011062,   1.080499,  -0.799282, -259.500000, -141.000000, -439.500000,   2.010246, -91.081768, -178.332560,   0.022707,   0.001900,   0.713712,  -0.700005, 
15472,  -0.371205,  -9.733711,  -0.177192,  -0.204678,   0.205724,  -0.223483,   0.017046,   1.085023,  -0.794815, -256.500000, -139.500000, -438.000000,   2.013297, -91.081840, -178.330464,   0.022739,   0.001906,   0.713713,  -0.700004, 
15473,  -0.321503,  -9.758102,  -0.196904,  -0.195686,   0.222789,  -0.362328,   0.011233,   1.081313,  -0.803820, -259.500000, -141.000000, -441.000000,   2.008301, -91.081872, -178.333152,   0.022692,   0.001892,   0.713713,  -0.700005, 
15474,  -0.359488,  -9.765712,  -0.153520,  -0.075741,   0.223360,  -0.195641,   0.017338,   1.078232,  -0.832848, -256.500000, -144.000000, -450.000000,   2.010623, -91.079656, -178.333152,   0.022706,   0.001907,   0.713700,  -0.700018, 
15475,  -0.322694,  -9.754559,  -0.194550,   0.000925,   0.142589,  -0.300666,   0.020236,   1.078684,  -0.833172, -255.000000, -144.000000, -450.000000,   2.007099, -91.080552, -178.343632,   0.022620,   0.001950,   0.713705,  -0.700016, 
15476,  -0.326405,  -9.749872,  -0.162705,   0.027616,   0.203830,  -0.490749,   0.011948,   1.049539,  -0.826914, -258.000000, -153.000000, -447.000000,   2.001049, -91.079800, -178.350176,   0.022543,   0.001954,   0.713701,  -0.700023, 
15477,  -0.322736,  -9.745729,  -0.174479,   0.071884,   0.272955,  -0.871963,   0.014487,   1.045555,  -0.827815, -256.500000, -154.500000, -447.000000,   1.991990, -91.077880, -178.356272,   0.022449,   0.001937,   0.713689,  -0.700038, 
15478,  -0.341483,  -9.784051,  -0.181136,   0.001752,   0.103372,  -1.014995,   0.016296,   1.070539,  -0.815275, -256.500000, -145.500000, -444.000000,   1.983137, -91.077728, -178.361856,   0.022360,   0.001918,   0.713689,  -0.700042, 
15479,  -0.323372,  -9.742794,  -0.162678,  -0.032084,   0.156871,  -1.005715,   0.002694,   1.077967,  -0.817038, -264.000000, -142.500000, -445.500000,   1.973017, -91.076496, -178.347312,   0.022385,   0.001766,   0.713681,  -0.700049, 
15480,  -0.340188,  -9.782837,  -0.201782,   0.036814,   0.165258,  -1.074430,   0.003223,   1.083217,  -0.820998, -264.000000, -141.000000, -447.000000,   1.961648, -91.076336, -178.334624,   0.022392,   0.001617,   0.713680,  -0.700049, 
15481,  -0.340245,  -9.812342,  -0.223638,  -0.057711,   0.184016,  -0.927188,   0.008677,   1.082491,  -0.812570, -261.000000, -141.000000, -444.000000,   1.953849, -91.079032, -178.329008,   0.022378,   0.001534,   0.713697,  -0.700033, 
15482,  -0.349034,  -9.735570,  -0.178799,  -0.117745,   0.202253,  -0.866605,   0.013039,   1.065652,  -0.815529, -258.000000, -147.000000, -444.000000,   1.949132, -91.079072, -178.330192,   0.022342,   0.001513,   0.713698,  -0.700034, 
15483,  -0.306405,  -9.744553,  -0.207405,  -0.040656,   0.156846,  -1.014513,   0.016467,   1.071353,  -0.819813, -256.500000, -145.500000, -445.500000,   1.937367, -91.080192, -178.339568,   0.022211,   0.001499,   0.713705,  -0.700031, 
15484,  -0.400619,  -9.748351,  -0.183323,   0.002568,   0.174188,  -1.083352,   0.007414,   1.065563,  -0.819418, -261.000000, -147.000000, -445.500000,   1.935841, -91.080176, -178.330432,   0.022257,   0.001433,   0.713705,  -0.700030, 
15485,  -0.280406,  -9.791986,  -0.178916,  -0.006138,   0.147075,  -1.170959,   0.016654,   1.074974,  -0.814698, -256.500000, -144.000000, -444.000000,   1.922721, -91.079112, -178.339888,   0.022118,   0.001412,   0.713699,  -0.700041, 
15486,  -0.255973,  -9.681627,  -0.153872,   0.028902,   0.163196,  -1.483592,   0.026049,   1.082393,  -0.824167, -252.000000, -142.500000, -447.000000,   1.901385, -91.076264, -178.365440,   0.021829,   0.001441,   0.713682,  -0.700069, 
15487,  -0.285826,  -9.816740,  -0.201990,  -0.047414,   0.187888,  -1.910439,   0.016980,   1.073797,  -0.833425, -256.500000, -145.500000, -450.000000,   1.878092, -91.076472, -178.377968,   0.021607,   0.001377,   0.713684,  -0.700075, 
15488,  -0.297658,  -9.758842,  -0.168989,  -0.081154,   0.213591,  -2.119224,   0.002677,   1.075160,  -0.826690, -264.000000, -144.000000, -448.500000,   1.858058, -91.077368, -178.366224,   0.021554,   0.001181,   0.713690,  -0.700071, 
15489,  -0.266415,  -9.757754,  -0.185870,   0.030030,   0.123049,  -2.380697,   0.010500,   1.069636,  -0.814627, -259.500000, -145.500000, -444.000000,   1.831087, -91.077944, -178.369104,   0.021369,   0.001034,   0.713694,  -0.700073, 
15490,  -0.287784,  -9.715128,  -0.182460,  -0.002750,   0.219124,  -2.744875,   0.019194,   1.070990,  -0.815599, -255.000000, -145.500000, -444.000000,   1.803963, -91.077248, -178.384080,   0.021109,   0.000961,   0.713691,  -0.700086, 
15491,  -0.303682,  -9.798927,  -0.209193,  -0.132729,   0.067203,  -2.940470,   0.007944,   1.070813,  -0.823378, -261.000000, -145.500000, -447.000000,   1.775109, -91.078376, -178.382976,   0.020936,   0.000778,   0.713699,  -0.700085, 
15492,  -0.265112,  -9.727056,  -0.173446,  -0.019713,   0.191012,  -3.032758,   0.014269,   1.076966,  -0.827986, -258.000000, -144.000000, -448.500000,   1.743184, -91.077984, -178.392368,   0.020680,   0.000641,   0.713698,  -0.700095, 
15493,  -0.252610,  -9.763895,  -0.197903,  -0.018374,   0.179639,  -3.324977,   0.016638,   1.072168,  -0.824350, -256.500000, -145.500000, -447.000000,   1.708350, -91.077680, -178.406624,   0.020376,   0.000517,   0.713697,  -0.700107, 
15494,  -0.266958,  -9.738861,  -0.176419,  -0.087565,   0.170230,  -3.651783,   0.016108,   1.066918,  -0.820390, -256.500000, -147.000000, -445.500000,   1.668015, -91.078392, -178.421616,   0.020033,   0.000364,   0.713703,  -0.700114, 
15495,  -0.246369,  -9.771847,  -0.172681,   0.050890,   0.145138,  -3.858608,   0.019536,   1.072619,  -0.824674, -255.000000, -145.500000, -447.000000,   1.627237, -91.076128, -178.441184,   0.019660,   0.000237,   0.713691,  -0.700140, 
15496,  -0.275462,  -9.765999,  -0.182402,  -0.103992,   0.167965,  -4.104558,   0.023118,   1.076329,  -0.843148, -253.500000, -145.500000, -453.000000,   1.587648, -91.075712, -178.466128,   0.019261,   0.000150,   0.713690,  -0.700156, 
15497,  -0.255858,  -9.753422,  -0.173789,   0.060416,   0.245205,  -4.390506,   0.029272,   1.081667,  -0.843219, -250.500000, -144.000000, -453.000000,   1.547433, -91.073872, -178.500160,   0.018802,   0.000117,   0.713681,  -0.700181, 
15498,  -0.236465,  -9.761420,  -0.186830,  -0.085034,   0.272422,  -4.546344,   0.022434,   1.073071,  -0.824998, -253.500000, -145.500000, -447.000000,   1.502705, -91.073704, -178.525376,   0.018370,   0.000001,   0.713683,  -0.700196, 
15499,  -0.238881,  -9.774486,  -0.182595,  -0.045948,   0.227621,  -4.786523,   0.013039,   1.065652,  -0.815529, -258.000000, -147.000000, -444.000000,   1.454706, -91.073528, -178.538016,   0.017994,  -0.000213,   0.713684,  -0.700209, 
15500,  -0.226331,  -9.774458,  -0.189714,  -0.040825,   0.332562,  -4.945123,   0.007789,   1.072805,  -0.809188, -261.000000, -144.000000, -442.500000,   1.407534, -91.074520, -178.541856,   0.017677,  -0.000478,   0.713692,  -0.700212, 
15501,  -0.170510,  -9.731707,  -0.174187,  -0.014496,   0.232862,  -5.296656,   0.007243,   1.064749,  -0.814880, -261.000000, -147.000000, -444.000000,   1.346776, -91.073368, -178.551728,   0.017238,  -0.000787,   0.713683,  -0.700228, 
15502,  -0.177254,  -9.768196,  -0.167508,   0.012445,   0.308719,  -6.111154,   0.003052,   1.082402,  -0.816460, -264.000000, -141.000000, -445.500000,   1.285473, -91.070208, -178.553360,   0.016847,  -0.001151,   0.713661,  -0.700256, 
15503,  -0.144494,  -9.749669,  -0.175579,   0.011047,   0.249093,  -6.758181,   0.009753,   1.095797,  -0.810838, -261.000000, -136.500000, -444.000000,   1.211588, -91.069416, -178.568768,   0.016292,  -0.001507,   0.713654,  -0.700272, 
15504,  -0.163274,  -9.728075,  -0.165016,   0.082755,   0.248587,  -7.408188,   0.014645,   1.084208,  -0.817756, -258.000000, -141.000000, -445.500000,   1.137026, -91.067240, -178.590752,   0.015694,  -0.001826,   0.713639,  -0.700298, 
15505,  -0.128514,  -9.761787,  -0.189632,   0.066765,   0.258213,  -8.049309,   0.002865,   1.078781,  -0.821575, -264.000000, -142.500000, -447.000000,   1.052729, -91.065912, -178.598896,   0.015119,  -0.002290,   0.713628,  -0.700317, 
15506,  -0.196994,  -9.765744,  -0.172965,  -0.070067,   0.280223,  -8.253495,  -0.001279,   1.064209,  -0.818446, -265.500000, -147.000000, -445.500000,   0.972248, -91.064416, -178.599648,   0.014613,  -0.002777,   0.713616,  -0.700335, 
15507,  -0.143929,  -9.754374,  -0.188693,   0.014300,   0.304244,  -8.350772,  -0.003802,   1.070999,  -0.807892, -267.000000, -144.000000, -442.500000,   0.891635, -91.062720, -178.597824,   0.014123,  -0.003281,   0.713603,  -0.700355, 
15508,  -0.098578,  -9.750753,  -0.185205,   0.016813,   0.313578,  -8.652280,  -0.010874,   1.091008,  -0.799495, -271.500000, -136.500000, -441.000000,   0.801707, -91.063288, -178.590544,   0.013607,  -0.003876,   0.713602,  -0.700361, 
15509,  -0.140833,  -9.770676,  -0.185009,   0.122730,   0.372497,  -8.874409,  -0.006730,   1.105580,  -0.802624, -270.000000, -132.000000, -442.500000,   0.718861, -91.061744, -178.587824,   0.013108,  -0.004399,   0.713590,  -0.700379, 
15510,  -0.080061,  -9.760880,  -0.183303,   0.094333,   0.266841,  -9.061296,   0.006700,   1.097338,  -0.796324, -262.500000, -135.000000, -439.500000,   0.626151, -91.060904, -178.611104,   0.012389,  -0.004821,   0.713582,  -0.700397, 
15511,  -0.047466,  -9.735353,  -0.175895,   0.000981,   0.339014,  -9.294086,   0.007822,   1.078418,  -0.789883, -261.000000, -141.000000, -436.500000,   0.531784, -91.059408, -178.637840,   0.011638,  -0.005231,   0.713570,  -0.700419, 
15512,  -0.013317,  -9.727445,  -0.194586,   0.138852,   0.289358,  -9.861075,   0.002556,   1.082765,  -0.793195, -264.000000, -139.500000, -438.000000,   0.429789, -91.058328, -178.660288,   0.010865,  -0.005715,   0.713560,  -0.700438, 
15513,  -0.018106,  -9.740163,  -0.195614,   0.078951,   0.301188, -10.477499,  -0.005966,   1.082225,  -0.796760, -268.500000, -139.500000, -439.500000,   0.324143, -91.058480, -178.671424,   0.010140,  -0.006291,   0.713557,  -0.700450, 
15514,   0.045226,  -9.757834,  -0.187679,   0.081115,   0.300509, -11.193064,  -0.006170,   1.075798,  -0.811528, -268.500000, -142.500000, -444.000000,   0.206525, -91.056664, -178.688112,   0.009305,  -0.006906,   0.713543,  -0.700475, 
15515,   0.093795,  -9.716491,  -0.175354,   0.105359,   0.363645, -12.178008,   0.001977,   1.069096,  -0.818193, -264.000000, -145.500000, -445.500000,   0.074761, -91.055352, -178.722736,   0.008273,  -0.007496,   0.713532,  -0.700498, 
15516,   0.080086,  -9.738474,  -0.187996,   0.205042,   0.316298, -13.280124,  -0.005982,   1.079419,  -0.806413, -268.500000, -141.000000, -442.500000,  -0.063269, -91.052968, -178.746064,   0.007272,  -0.008194,   0.713509,  -0.700524, 
15517,   0.134589,  -9.757634,  -0.172455,   0.101110,   0.361372, -14.181705,  -0.013243,   1.095806,  -0.803131, -273.000000, -135.000000, -442.500000,  -0.214537, -91.051016, -178.763472,   0.006223,  -0.009011,   0.713482,  -0.700541, 
